ERROR - 2021-06-23 13:25:20,709 - root - local variable 'words' referenced before assignment in -makefile- 
DEBUG - 2021-06-23 13:31:12,167 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/uncooked HTTP/1.1" 200 361 
DEBUG - 2021-06-23 13:31:12,190 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/regulars HTTP/1.1" 200 1898 
DEBUG - 2021-06-23 13:31:12,195 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/embroider HTTP/1.1" 200 637 
DEBUG - 2021-06-23 13:31:12,217 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/vigilant HTTP/1.1" 200 633 
DEBUG - 2021-06-23 13:31:12,226 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Sushi HTTP/1.1" 200 428 
DEBUG - 2021-06-23 13:31:12,230 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Protons HTTP/1.1" 200 443 
DEBUG - 2021-06-23 13:31:12,239 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/eaten HTTP/1.1" 200 846 
DEBUG - 2021-06-23 13:31:12,252 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Electrons HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:12,253 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Neutrons HTTP/1.1" 200 475 
DEBUG - 2021-06-23 13:31:12,300 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/lightest HTTP/1.1" 200 4433 
DEBUG - 2021-06-23 13:31:12,331 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/laughed HTTP/1.1" 200 1205 
DEBUG - 2021-06-23 13:31:12,333 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/ego HTTP/1.1" 200 386 
DEBUG - 2021-06-23 13:31:12,415 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/alright HTTP/1.1" 200 1363 
DEBUG - 2021-06-23 13:31:12,434 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/possessed HTTP/1.1" 200 315 
DEBUG - 2021-06-23 13:31:12,451 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/shouted HTTP/1.1" 200 1016 
DEBUG - 2021-06-23 13:31:12,467 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/afar HTTP/1.1" 200 1049 
DEBUG - 2021-06-23 13:31:12,483 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/waiter HTTP/1.1" 200 810 
DEBUG - 2021-06-23 13:31:12,496 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sprinkle HTTP/1.1" 200 1365 
DEBUG - 2021-06-23 13:31:12,499 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/useless HTTP/1.1" 200 612 
DEBUG - 2021-06-23 13:31:12,513 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/waiters HTTP/1.1" 200 809 
DEBUG - 2021-06-23 13:31:12,522 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/lust HTTP/1.1" 200 764 
DEBUG - 2021-06-23 13:31:12,553 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/dragons HTTP/1.1" 200 652 
DEBUG - 2021-06-23 13:31:12,584 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/charmer HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:12,602 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/chutney HTTP/1.1" 200 412 
DEBUG - 2021-06-23 13:31:12,653 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Bro HTTP/1.1" 200 379 
DEBUG - 2021-06-23 13:31:12,667 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/forgiven HTTP/1.1" 200 447 
DEBUG - 2021-06-23 13:31:12,699 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/boyfriend HTTP/1.1" 200 782 
DEBUG - 2021-06-23 13:31:12,716 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Protector HTTP/1.1" 200 768 
DEBUG - 2021-06-23 13:31:12,750 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/spared HTTP/1.1" 200 1565 
DEBUG - 2021-06-23 13:31:12,758 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/thrashing HTTP/1.1" 200 700 
DEBUG - 2021-06-23 13:31:12,770 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/torn HTTP/1.1" 200 1700 
DEBUG - 2021-06-23 13:31:12,784 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/wafers HTTP/1.1" 200 625 
DEBUG - 2021-06-23 13:31:12,795 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/crispy HTTP/1.1" 200 424 
DEBUG - 2021-06-23 13:31:12,812 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/spoon HTTP/1.1" 200 973 
DEBUG - 2021-06-23 13:31:12,850 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/wafer HTTP/1.1" 200 510 
DEBUG - 2021-06-23 13:31:12,867 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Brahma HTTP/1.1" 200 608 
DEBUG - 2021-06-23 13:31:12,883 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Baba HTTP/1.1" 200 813 
DEBUG - 2021-06-23 13:31:12,917 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Nanak HTTP/1.1" 200 461 
DEBUG - 2021-06-23 13:31:12,950 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/stinky HTTP/1.1" 200 235 
DEBUG - 2021-06-23 13:31:12,957 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/poison HTTP/1.1" 200 893 
DEBUG - 2021-06-23 13:31:12,983 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Wasabi HTTP/1.1" 200 554 
DEBUG - 2021-06-23 13:31:13,015 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/prompts HTTP/1.1" 200 1527 
DEBUG - 2021-06-23 13:31:13,033 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/endorsing HTTP/1.1" 200 1174 
DEBUG - 2021-06-23 13:31:13,050 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/orifices HTTP/1.1" 200 567 
DEBUG - 2021-06-23 13:31:13,065 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/habit HTTP/1.1" 200 956 
DEBUG - 2021-06-23 13:31:13,162 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/tastes HTTP/1.1" 200 1282 
DEBUG - 2021-06-23 13:31:13,210 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/reserving HTTP/1.1" 200 2606 
DEBUG - 2021-06-23 13:31:13,219 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/irritated HTTP/1.1" 200 299 
DEBUG - 2021-06-23 13:31:13,222 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/normalcy HTTP/1.1" 200 454 
DEBUG - 2021-06-23 13:31:13,232 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/expressing HTTP/1.1" 200 2585 
DEBUG - 2021-06-23 13:31:13,242 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/threw HTTP/1.1" 200 2359 
DEBUG - 2021-06-23 13:31:13,251 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Reserving HTTP/1.1" 200 2606 
DEBUG - 2021-06-23 13:31:13,285 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/hunky HTTP/1.1" 200 260 
DEBUG - 2021-06-23 13:31:13,286 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sided HTTP/1.1" 200 280 
DEBUG - 2021-06-23 13:31:13,294 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/dory HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:13,308 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Firstly HTTP/1.1" 200 412 
DEBUG - 2021-06-23 13:31:13,328 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/volatile HTTP/1.1" 200 1146 
DEBUG - 2021-06-23 13:31:13,417 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/hmm HTTP/1.1" 200 264 
DEBUG - 2021-06-23 13:31:13,449 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/boyfriends HTTP/1.1" 200 791 
DEBUG - 2021-06-23 13:31:13,473 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/crave HTTP/1.1" 200 473 
DEBUG - 2021-06-23 13:31:13,497 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/chasing HTTP/1.1" 200 2557 
DEBUG - 2021-06-23 13:31:13,505 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/abuses HTTP/1.1" 200 1707 
DEBUG - 2021-06-23 13:31:13,510 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/batsman HTTP/1.1" 200 397 
DEBUG - 2021-06-23 13:31:13,518 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/behave HTTP/1.1" 200 706 
DEBUG - 2021-06-23 13:31:13,531 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/resides HTTP/1.1" 200 704 
DEBUG - 2021-06-23 13:31:13,551 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/oiled HTTP/1.1" 200 292 
DEBUG - 2021-06-23 13:31:13,556 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/greedy HTTP/1.1" 200 508 
DEBUG - 2021-06-23 13:31:13,566 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/submits HTTP/1.1" 200 1073 
DEBUG - 2021-06-23 13:31:13,582 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/dire HTTP/1.1" 200 452 
DEBUG - 2021-06-23 13:31:13,666 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/haywire HTTP/1.1" 200 323 
DEBUG - 2021-06-23 13:31:13,685 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/rapt HTTP/1.1" 200 530 
DEBUG - 2021-06-23 13:31:13,701 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/shitty HTTP/1.1" 200 456 
DEBUG - 2021-06-23 13:31:13,754 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/attentively HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:13,770 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sweep HTTP/1.1" 200 2433 
DEBUG - 2021-06-23 13:31:13,776 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/genetically HTTP/1.1" 200 429 
DEBUG - 2021-06-23 13:31:13,787 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/asshole HTTP/1.1" 200 427 
DEBUG - 2021-06-23 13:31:13,807 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/evolved HTTP/1.1" 200 650 
DEBUG - 2021-06-23 13:31:13,817 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/contemplate HTTP/1.1" 200 490 
DEBUG - 2021-06-23 13:31:13,831 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/emotionally HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:13,834 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/bending HTTP/1.1" 200 2490 
DEBUG - 2021-06-23 13:31:13,849 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/shitting HTTP/1.1" 200 1590 
DEBUG - 2021-06-23 13:31:13,941 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/pile HTTP/1.1" 200 2594 
DEBUG - 2021-06-23 13:31:13,942 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Motherfucker HTTP/1.1" 200 568 
DEBUG - 2021-06-23 13:31:13,956 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/interrupt HTTP/1.1" 200 686 
DEBUG - 2021-06-23 13:31:14,001 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/buttoned HTTP/1.1" 200 477 
DEBUG - 2021-06-23 13:31:14,015 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/firstly HTTP/1.1" 200 412 
DEBUG - 2021-06-23 13:31:14,018 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/crying HTTP/1.1" 200 589 
DEBUG - 2021-06-23 13:31:14,051 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/intervene HTTP/1.1" 200 639 
DEBUG - 2021-06-23 13:31:14,070 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/slap HTTP/1.1" 200 1120 
DEBUG - 2021-06-23 13:31:14,101 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/famished HTTP/1.1" 200 371 
DEBUG - 2021-06-23 13:31:14,180 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/imagined HTTP/1.1" 200 350 
DEBUG - 2021-06-23 13:31:14,180 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/judgmental HTTP/1.1" 200 284 
DEBUG - 2021-06-23 13:31:14,205 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/judging HTTP/1.1" 200 886 
DEBUG - 2021-06-23 13:31:14,212 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/scolding HTTP/1.1" 200 402 
DEBUG - 2021-06-23 13:31:14,219 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/stalk HTTP/1.1" 200 1286 
DEBUG - 2021-06-23 13:31:14,234 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/tilt HTTP/1.1" 200 991 
DEBUG - 2021-06-23 13:31:14,265 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Madam HTTP/1.1" 200 292 
DEBUG - 2021-06-23 13:31:14,283 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/stalking HTTP/1.1" 200 1290 
DEBUG - 2021-06-23 13:31:14,317 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/slammed HTTP/1.1" 200 1654 
DEBUG - 2021-06-23 13:31:14,340 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/bulb HTTP/1.1" 200 1045 
DEBUG - 2021-06-23 13:31:14,343 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/cardamom HTTP/1.1" 200 582 
DEBUG - 2021-06-23 13:31:14,368 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sorrow HTTP/1.1" 200 1201 
DEBUG - 2021-06-23 13:31:14,439 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/indulging HTTP/1.1" 200 673 
DEBUG - 2021-06-23 13:31:14,448 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/spoons HTTP/1.1" 200 979 
DEBUG - 2021-06-23 13:31:14,467 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/tense HTTP/1.1" 200 924 
DEBUG - 2021-06-23 13:31:14,472 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/crux HTTP/1.1" 200 903 
DEBUG - 2021-06-23 13:31:14,484 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/explored HTTP/1.1" 200 980 
DEBUG - 2021-06-23 13:31:14,504 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sobbing HTTP/1.1" 200 364 
DEBUG - 2021-06-23 13:31:14,515 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/observing HTTP/1.1" 200 1029 
DEBUG - 2021-06-23 13:31:14,525 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/eyeballs HTTP/1.1" 200 686 
DEBUG - 2021-06-23 13:31:14,583 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/touching HTTP/1.1" 200 479 
DEBUG - 2021-06-23 13:31:14,600 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Phew HTTP/1.1" 200 229 
DEBUG - 2021-06-23 13:31:14,606 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/disheartened HTTP/1.1" 200 571 
DEBUG - 2021-06-23 13:31:14,617 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/unpredictable HTTP/1.1" 200 468 
DEBUG - 2021-06-23 13:31:14,685 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/exclaim HTTP/1.1" 200 416 
DEBUG - 2021-06-23 13:31:14,714 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Sherlock HTTP/1.1" 200 267 
DEBUG - 2021-06-23 13:31:14,715 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/someplace HTTP/1.1" 200 344 
DEBUG - 2021-06-23 13:31:14,733 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/texted HTTP/1.1" 200 1103 
DEBUG - 2021-06-23 13:31:14,745 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/grandmother HTTP/1.1" 200 318 
DEBUG - 2021-06-23 13:31:14,748 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/consoling HTTP/1.1" 200 275 
DEBUG - 2021-06-23 13:31:14,782 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/popped HTTP/1.1" 200 3403 
DEBUG - 2021-06-23 13:31:14,788 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/emotion HTTP/1.1" 200 409 
DEBUG - 2021-06-23 13:31:14,835 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Hmm HTTP/1.1" 200 264 
DEBUG - 2021-06-23 13:31:14,855 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/abandon HTTP/1.1" 200 1268 
DEBUG - 2021-06-23 13:31:14,865 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Grandma HTTP/1.1" 200 255 
DEBUG - 2021-06-23 13:31:14,896 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Alright HTTP/1.1" 200 1363 
DEBUG - 2021-06-23 13:31:14,934 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/hugging HTTP/1.1" 200 821 
DEBUG - 2021-06-23 13:31:14,949 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Nonchalantly HTTP/1.1" 200 317 
